,date,event,tour,surname,first_name,fin_pos,r1_score,r2_score,r3_score,r4_score,r5_score,score_tot,field_av,adj_r1_score,adj_r2_score,adj_r3_score,adj_r4_score,adj_r5_score,adj_av
542,02-Aug-1998,Scandinavian Masters,European,Harrington,Padraig,63,72,70,74,75,,291,73.3,72.5,70.5,76.0,76.1,,73.8
543,26-Jul-1998,Dutch Open,European,Harrington,Padraig,51,69,72,67,75,,283,73.2,70.2,74.3,70.0,77.7,,73.1
544,19-Jul-1998,British Open,European,Harrington,Padraig,mc,73,76,,,,149,71.7,72.7,73.0,,,,72.8
545,12-Jul-1998,Loch Lomond,European,Harrington,Padraig,40,74,69,77,70,,290,72.8,71.9,68.4,77.7,69.9,,72.0
546,05-Jul-1998,Irish Open,European,Harrington,Padraig,mc,81,71,,,,152,73.0,79.9,69.7,,,,74.8
547,21-Jun-1998,U.S. Open,PGA,Harrington,Padraig,32,73,72,76,72,,293,71.6,69.6,69.1,73.4,69.9,,70.5
548,07-Jun-1998,English Open,European,Harrington,Padraig,25,74,69,70,70,,283,73.3,74.8,69.7,72.3,71.1,,72.0
549,31-May-1998,Deutsche Bank - SAP Open,European,Harrington,Padraig,60,69,72,72,69,,282,73.1,70.9,74.2,76.1,71.0,,73.0
550,24-May-1998,Volvo PGA Championship,European,Harrington,Padraig,11,70,69,69,70,,278,73.2,70.6,69.5,71.3,72.6,,71.0
551,17-May-1998,Benson and Hedges International Open,European,Harrington,Padraig,59,70,72,74,73,,289,73.2,71.0,72.5,75.8,74.0,,73.3
552,03-May-1998,Italian Open,European,Harrington,Padraig,43,70,69,69,,,208,73.4,72.5,72.4,72.8,,,72.6
553,26-Apr-1998,Open de Espana,European,Harrington,Padraig,mc,67,74,,,,141,73.4,70.0,76.9,,,,73.5
554,19-Apr-1998,Cannes Open,European,Harrington,Padraig,mc,78,72,,,,150,73.5,78.3,72.1,,,,75.2
555,22-Mar-1998,Bay Hill Invitational,PGA,Harrington,Padraig,50,71,73,76,75,,295,71.0,70.3,70.3,75.3,72.4,,72.1
556,08-Mar-1998,Qatar Masters,European,Harrington,Padraig,17,74,70,67,68,,279,73.2,74.3,71.5,70.5,70.5,,71.7
557,01-Mar-1998,Dubai Desert Classic,European,Harrington,Padraig,64,72,69,68,79,,288,73.0,73.1,71.2,71.6,78.1,,73.5
558,01-Feb-1998,Heineken Classic,Australasian,Harrington,Padraig,3,74,71,71,66,,282,73.5,74.1,71.1,72.0,65.2,,70.6
559,25-Jan-1998,Johnnie Walker Classic,Asian PGA,Harrington,Padraig,8,69,67,73,73,,282,73.4,68.0,66.6,73.0,72.8,,70.1
560,09-Nov-1997,Sarazen World Open,PGA,Harrington,Padraig,26,69,72,73,76,,290,72.9,67.7,70.7,72.3,76.1,,71.7
561,02-Nov-1997,Volvo Masters,European,Harrington,Padraig,2,66,70,67,,,203,71.5,67.6,71.4,65.1,,,68.0
562,26-Oct-1997,Oki Pro-am,European,Harrington,Padraig,18,72,66,69,72,,279,73.6,74.7,68.5,71.7,74.4,,72.3
563,05-Oct-1997,German Masters,European,Harrington,Padraig,27,72,70,70,71,,283,73.2,70.0,71.6,73.4,73.5,,72.1
564,07-Sep-1997,European Masters,European,Harrington,Padraig,63,68,69,75,70,,282,73.7,71.5,72.5,78.9,74.3,,74.3
565,31-Aug-1997,BMW International Open,European,Harrington,Padraig,9,66,64,71,68,,269,73.4,69.1,66.9,75.8,73.1,,71.2
566,24-Aug-1997,European Open,European,Harrington,Padraig,50,70,71,72,72,,285,73.4,71.5,72.6,74.0,74.6,,73.2
567,17-Aug-1997,PGA Championship,PGA,Harrington,Padraig,mc,77,71,,,,148,71.4,75.1,68.8,,,,71.9
568,10-Aug-1997,Chemapol Trophy Czech Open,European,Harrington,Padraig,32,69,68,70,69,,276,73.3,71.4,71.2,74.2,72.0,,72.2
569,03-Aug-1997,Scandinavian Masters,European,Harrington,Padraig,6,66,71,72,68,,277,72.9,66.8,72.4,73.5,70.0,,70.7
570,20-Jul-1997,British Open,European,Harrington,Padraig,5,75,69,69,67,,280,72.0,70.8,68.6,69.6,67.6,,69.2
571,13-Jul-1997,Loch Lomond,European,Harrington,Padraig,57,71,72,71,73,,287,72.9,72.1,72.4,72.8,74.4,,72.9
572,06-Jul-1997,Irish Open,European,Harrington,Padraig,7,71,72,71,69,,283,72.5,69.7,71.0,71.2,69.6,,70.4
573,22-Jun-1997,German Open,European,Harrington,Padraig,29,71,71,71,72,,285,73.0,71.7,71.5,71.6,71.7,,71.6
574,15-Jun-1997,U.S. Open,PGA,Harrington,Padraig,mc,75,76,,,,151,71.5,72.7,73.9,,,,73.3
575,08-Jun-1997,European Grand Prix,European,Harrington,Padraig,26,67,74,72,72,,285,73.0,67.3,73.7,73.5,72.4,,71.7
576,25-May-1997,Volvo PGA Championship,European,Harrington,Padraig,60,74,73,73,73,,293,73.1,73.8,71.1,73.3,74.0,,73.1
577,18-May-1997,English Open,European,Harrington,Padraig,mc,74,72,,,,146,72.6,74.1,73.5,,,,73.8
578,11-May-1997,Benson and Hedges International Open,European,Harrington,Padraig,4,73,67,71,71,,282,72.4,71.6,67.7,69.3,67.7,,69.1
579,04-May-1997,Italian Open,European,Harrington,Padraig,32,70,70,71,72,,283,72.9,70.0,70.0,72.7,74.1,,71.7
580,27-Apr-1997,Open de Espana,European,Harrington,Padraig,36,66,76,74,70,,286,72.3,65.5,75.8,74.0,70.4,,71.4
581,30-Mar-1997,Madeira Island Open,European,Harrington,Padraig,9,73,69,68,,,210,73.2,72.4,69.1,69.6,,,70.4
582,23-Mar-1997,Turespana Masters -  Open de Canarias,European,Harrington,Padraig,30,72,69,71,72,,284,72.8,72.4,68.4,72.7,73.4,,71.7
583,16-Mar-1997,Portuguese Open,European,Harrington,Padraig,mc,73,71,,,,144,73.1,73.7,71.9,,,,72.8
584,09-Mar-1997,Moroccan Open,European,Harrington,Padraig,38,69,75,74,69,,287,73.0,67.2,74.4,75.7,69.6,,71.7
585,02-Mar-1997,Dubai Desert Classic,European,Harrington,Padraig,28,66,72,71,74,,283,72.2,66.4,70.7,73.0,74.8,,71.2
586,23-Feb-1997,South African PGA Championship,Southern Africa,Harrington,Padraig,55,69,71,71,72,,283,73.2,71.0,73.8,73.2,73.7,,72.9
587,16-Feb-1997,Dimension Data Pro-Am,Southern Africa,Harrington,Padraig,4,70,66,68,75,,279,73.0,70.3,66.6,68.1,74.6,,69.9
588,09-Feb-1997,South African Open,Southern Africa,Harrington,Padraig,28,72,73,73,69,,287,73.3,72.2,73.1,73.4,69.9,,72.2
589,02-Feb-1997,Heineken Classic,Australasian,Harrington,Padraig,11,70,63,73,72,,278,72.3,69.1,62.9,73.8,73.2,,69.8
590,26-Jan-1997,Johnnie Walker Classic,Australasian,Harrington,Padraig,28,71,73,73,71,,288,72.2,70.5,70.4,71.6,70.7,,70.8
591,03-Nov-1996,Sarazen World Open,PGA,Harrington,Padraig,19,70,72,73,73,,288,72.8,68.9,71.4,71.7,72.4,,71.1
592,27-Oct-1996,Volvo Masters,European,Harrington,Padraig,29,69,73,77,73,,292,72.0,67.9,71.9,75.2,72.8,,71.9
593,06-Oct-1996,German Masters,European,Harrington,Padraig,11,68,67,67,68,,270,72.3,69.4,68.3,70.4,71.5,,69.9
594,29-Sep-1996,European Open,European,Harrington,Padraig,10,73,71,74,65,,283,73.0,72.3,70.1,74.6,65.0,,70.5
595,22-Sep-1996,Loch Lomond World Invitational,European,Harrington,Padraig,39,76,74,71,71,,292,72.6,72.8,71.6,71.6,71.8,,72.0
596,15-Sep-1996,Trophee Lancome,European,Harrington,Padraig,7,68,74,73,63,,278,72.5,68.3,73.0,74.5,63.5,,69.8
597,08-Sep-1996,European Masters,European,Harrington,Padraig,18,69,71,71,66,,277,73.2,70.3,72.3,73.9,69.4,,71.5
598,01-Sep-1996,British Masters,European,Harrington,Padraig,mc,72,81,,,,153,72.5,70.7,76.5,,,,73.6
599,25-Aug-1996,German Open,European,Harrington,Padraig,mc,67,71,,,,138,73.0,71.1,74.5,,,,72.8
600,18-Aug-1996,Chemapol Trophy Czech Open,European,Harrington,Padraig,mc,76,76,,,,152,73.4,76.6,77.1,,,,76.9
601,04-Aug-1996,Scandinavian Masters,European,Harrington,Padraig,18,69,77,72,70,,288,72.9,68.7,74.9,70.7,70.6,,71.2
602,28-Jul-1996,Dutch Open,European,Harrington,Padraig,mc,72,70,,,,142,72.6,72.9,71.2,,,,72.0
603,21-Jul-1996,British Open,European,Harrington,Padraig,18,68,68,73,71,,280,71.6,67.3,67.9,73.0,71.0,,69.8
604,14-Jul-1996,Scottish Open,European,Harrington,Padraig,mc,76,78,,,,154,72.4,71.6,72.7,,,,72.2
605,07-Jul-1996,Irish Open,European,Harrington,Padraig,mc,77,77,,,,154,72.6,74.6,75.6,,,,75.1
606,23-Jun-1996,BMW International Open,European,Harrington,Padraig,3,68,66,,,,134,73.9,69.2,68.4,,,,68.8
607,16-Jun-1996,Slaley Hall Northumberland Challenge,European,Harrington,Padraig,9,70,71,72,72,,285,74.0,69.4,70.7,72.8,72.9,,71.5
608,09-Jun-1996,English Open,European,Harrington,Padraig,mc,78,69,,,,147,72.8,76.8,68.6,,,,72.7
609,26-May-1996,Volvo PGA Championship,European,Harrington,Padraig,13,71,71,72,68,,282,72.7,70.2,71.5,72.7,69.3,,70.9
